index,psnr,ssim,lpips
109,34.40690279791252,0.7806120125706636,0.32184019684791565
110,32.82736304349679,0.786546143244019,0.17275792360305786
111,36.655320951810545,0.9234012253190959,0.11560247838497162
112,36.92400279834483,0.8972671725923247,0.2132566273212433
113,31.410538527246196,0.739433862576167,0.23825037479400635
114,36.719889178084856,0.8934679382334508,0.22593370079994202
115,29.873704496014,0.8214754259707867,0.17956992983818054
116,37.24833388722435,0.9194476981815828,0.10541218519210815
117,32.23815171493043,0.801402920715189,0.2389857918024063
118,31.032845256965583,0.8194564376844339,0.16731563210487366
119,31.138754776288913,0.7648718944986809,0.1403220146894455
120,32.63818979652341,0.8824396544208365,0.07911615818738937
121,35.01376715600976,0.929735455602366,0.09051041305065155
122,34.38553393606371,0.7802982768082466,0.30405697226524353
123,33.93824173550009,0.85104643976329,0.2392786145210266
124,36.72936027059588,0.8792360541505828,0.23232458531856537
125,39.378047363367585,0.9152645257921597,0.2566896677017212
126,35.04252235929614,0.8973534232283461,0.07292217016220093
127,30.85100731408461,0.8374128854533556,0.12883517146110535
128,31.88941622924733,0.9020673718119944,0.06837593764066696
129,32.349655622139295,0.9312857891514721,0.09670285135507584
130,36.77184105532408,0.8863393147398194,0.22719168663024902
131,31.857563510403956,0.9001844744602961,0.06804127991199493
132,32.15690394239344,0.7423704731282821,0.2939024567604065
133,34.29837468188748,0.8634632721985431,0.14545705914497375
134,34.36834257637226,0.845782892171707,0.21501171588897705
135,32.686558774510466,0.7804442446004706,0.2698257565498352
136,36.715900470115315,0.8924717131500252,0.22486591339111328
137,34.06341594856684,0.8471192565126541,0.2175045907497406
138,37.6192076988297,0.9556060598308687,0.03237193450331688
139,34.77188664345221,0.8661258029962066,0.17800699174404144
140,34.45224768397293,0.8920227198442081,0.07179836928844452
141,34.878849108072785,0.8918941357589393,0.1308678686618805
142,33.96060674556068,0.9044105797183034,0.08937999606132507
143,32.740181032586094,0.8315768258711803,0.1735723614692688
144,33.33902603850077,0.9045973299594795,0.054033420979976654
145,32.566271263822635,0.829668420797443,0.16693267226219177
146,36.32622997557375,0.903823044892161,0.105523481965065
147,36.369994103024,0.9069287094938039,0.11288630962371826
148,37.194318202371804,0.8919900168822205,0.2593939006328583
149,31.135388833456087,0.8115550009188407,0.19976013898849487
150,35.05103454726621,0.891380357825532,0.17027461528778076
151,34.917505998777905,0.9134360986135869,0.11060932278633118
152,32.95614318217011,0.8738002305012559,0.09376345574855804
153,34.651932569178726,0.9141107910679916,0.09919468313455582
154,32.366198850813845,0.9340833003613119,0.08679056167602539
155,29.94274870852783,0.8152384488217281,0.17583201825618744
156,36.702979901496164,0.9339654574785557,0.10527467727661133
157,37.48421861783474,0.9056504343831634,0.12913568317890167
158,32.26088357153583,0.9073376126266487,0.05235520005226135
159,30.55568440189527,0.9073085143766156,0.053609009832143784
160,31.917798257254404,0.8887496171701189,0.05454663187265396
161,29.497267885457134,0.7770637799294255,0.18779799342155457
162,35.251640091201395,0.860797357219489,0.230760857462883
163,31.048354245089037,0.8230057578348376,0.17591208219528198
164,32.087885721868126,0.8054919561320087,0.22320878505706787
165,28.804513223346937,0.8339228293233262,0.137712761759758
166,36.83683700652746,0.9344563777625602,0.025865819305181503
167,31.23922458382546,0.8949201347521702,0.062441445887088776
168,37.124234147183024,0.9013862726417736,0.1476995199918747
169,31.745974514767962,0.8928926428876443,0.06691265851259232
170,33.24107598486497,0.8966841073735848,0.062308020889759064
171,31.59347733349652,0.8906866113063683,0.06328491866588593
172,30.814340687992363,0.8080596762700445,0.18021221458911896
173,34.28757382430867,0.8932900203159182,0.12110759317874908
174,32.542351629001594,0.7706808944524718,0.1990915834903717
175,32.75868218720495,0.7836824464686538,0.25377607345581055
176,30.911179801323073,0.8524866709433928,0.06308810412883759
177,35.39481261697966,0.8682233735434988,0.20536422729492188
178,35.26263429101632,0.8857993242079377,0.18016520142555237
179,36.7261780319405,0.9351628287098914,0.02482946217060089
180,32.75919643337294,0.9111933297819346,0.04559682309627533
181,34.48264011690477,0.9117075815137358,0.10783010721206665
182,37.733985487214134,0.9267329279854243,0.0411403551697731
183,32.97557354349364,0.8302798482251689,0.0688396543264389
184,30.728790339974665,0.8474005039054792,0.14852674305438995
185,39.000269940271906,0.961727230765956,0.031278952956199646
186,34.83807048180505,0.8908452087990809,0.13910268247127533
187,34.84034170593076,0.9277215461592081,0.11005676537752151
188,33.40555100663759,0.9068733464404796,0.06193822622299194
189,32.64142947597463,0.8342240010333758,0.16917085647583008
190,35.232605791737484,0.8648047699661697,0.20219701528549194
191,32.33137866193581,0.9198918189370365,0.06457912176847458
192,39.414778907148076,0.9785032836149279,0.008580170571804047
193,36.22685819453647,0.9038653501967739,0.14465972781181335
194,31.215078628568516,0.8950289624287677,0.05775986611843109
195,32.045745019823414,0.9225493865964407,0.03078266978263855
196,32.10910544086801,0.8341739835894738,0.14576631784439087
197,37.36466477085531,0.9538743858064945,0.03068246878683567
198,34.27315163864282,0.9137435340384531,0.10905706882476807
199,31.254977262797603,0.7711719142796202,0.14490392804145813
200,31.324111081914086,0.8335634013709626,0.13507524132728577
201,30.86282886009591,0.8528779594035131,0.0672341138124466
202,39.45186269417479,0.9165524462036411,0.2518359422683716
203,32.19771393645725,0.7657692136209646,0.18837320804595947
204,34.138310151693936,0.8723731721901844,0.07999587059020996
205,30.98764093751938,0.8120306763879711,0.18857908248901367
206,33.06558799605666,0.7679654873640454,0.14267012476921082
207,33.22975801698966,0.7099895630363493,0.3942422568798065
208,35.51781666427352,0.9094606854153562,0.08941489458084106
209,33.584427252316885,0.8770193318055144,0.0746501237154007
210,40.62849855084197,0.9676425537185315,0.024125441908836365
211,30.245916395061002,0.8025920563984702,0.21057146787643433
212,34.43047418753976,0.8622448368717152,0.1174856573343277
213,38.3549489417362,0.9386941460135397,0.07988199591636658
214,31.49086660901656,0.6892075885641374,0.27633947134017944
